group,name1,name2,C.ij.bray,E.ij.bray,ST.ij.bray,NST.ij.bray,MST.ij.bray,SES.ij.bray,RC.ij.bray
20,a,B3-100-normal,A1-100-normal,0.63706414,0.37636190408,0.590775528630445,-0.417433410265175,0.343810979401666,-3.39663634386332,-1
21,a,B3-20-normal,A1-100-normal,0.57689923,0.42959375,0.744659946937353,0.332426687924784,0.552354040541024,-2.19302040098455,-0.968
22,a,B3-40-normal,A1-100-normal,0.49379199,0.3801706133,0.769900324426081,0.455419984778928,0.62876933473745,-2.32897465959239,-0.996
23,a,B3-60-normal,A1-100-normal,0.60873113,0.39574698806,0.650117873978287,-0.128265361940707,0.420967510118997,-3.23876958519085,-1
24,a,B3-80-normal,A1-100-normal,0.55741029,0.37257754326,0.668408082778666,-0.0391393937766417,0.471501356607094,-3.01341290397017,-1
25,a,B5-100-normal,A1-100-normal,0.8102201,0.38400000719,0.473945298555294,-0.986732945329122,0.146015085089517,-5.51670059259764,-1
26,a,B5-20-normal,A1-100-normal,0.4755183,0.36878222085,0.775537389097328,0.482888716924728,0.644397514903756,-2.48960122619596,-0.992
27,a,B5-40-normal,A1-100-normal,0.45260569,0.3359824591,0.742329286889876,0.321069664313962,0.611951948195704,-2.5048030948815,-0.994
28,a,B5-60-normal,A1-100-normal,0.65166431,0.41334426695,0.634290171499495,-0.205391835598341,0.376619356297442,-3.29890646398181,-1
29,a,B5-80-normal,A1-100-normal,0.47910516,0.36354128405,0.758792253562871,0.401291703307473,0.621015879911246,-2.38691098304962,-0.996
30,a,C1_FDSW202534412-1r,A1-100-normal,0.34838077,0.41044961345,0.904746759161788,1.11251029908104,0.767929515056505,0.852038762219191,0.6
31,a,C1-100-normal,A1-100-normal,0.6283885,0.3737009365,0.594697287585626,-0.398323154739864,0.352860740124076,-3.32695376357909,-1
32,a,C1-20-normal,A1-100-normal,0.4883084,0.35862135874,0.73441570683609,0.282507748939717,0.585916530300783,-2.42234403541977,-0.988
33,a,C1-40-normal,A1-100-normal,0.40896009,0.3204296875,0.783523124469187,0.521802236408673,0.68145036422436,-2.0851581455057,-0.988
34,a,C1-60-normal,A1-100-normal,0.62211376,0.36904294787,0.59320814230182,-0.405579579016082,0.355278055257608,-3.69001454808179,-1
35,a,C1-80-normal,A1-100-normal,0.64862009,0.40024844062,0.617076847897203,-0.289270272860569,0.361530376846959,-3.77744209981489,-1
36,a,C3-100-normal,A1-100-normal,0.72339337,0.39590164323,0.547284036111639,-0.629362176084322,0.250592293763307,-4.33374640206226,-1
37,a,C3-20-normal,A1-100-normal,0.59601633,0.41595160803,0.6978862609855,0.104504191765285,0.482724816696322,-2.57483683884578,-0.994
38,a,C3-40-normal,A1-100-normal,0.53039084,0.3705340346,0.698605644471537,0.108009660203293,0.521190386620921,-2.8093990496226,-1
39,a,C3-60-normal,A1-100-normal,0.51202249,0.35568160296,0.694660117292895,0.0887835850090679,0.526104044041211,-2.94452173250126,-0.998
40,a,C3-80-normal,A1-100-normal,0.53420447,0.37015305924,0.692905207700714,0.0802321235057838,0.512429492903892,-3.08464264329094,-1
41,a,C5-100-normal,A1-100-normal,0.78442009,0.42544615347,0.542370292262657,-0.653306253630424,0.203504231150513,-5.0101042764736,-1
42,a,C5-20-normal,A1-100-normal,0.61072445,0.39949123304,0.654126804715285,-0.108730328899953,0.424033062771666,-2.9661802364139,-0.998
43,a,C5-40-normal,A1-100-normal,0.58434821,0.39285227177,0.672291392438765,-0.0202164970008502,0.46024897677441,-3.18460649574592,-1
44,a,C5-60-normal,A1-100-normal,0.54489327,0.39649999863,0.727665435526484,0.249614495920853,0.548741402062483,-2.74900051571474,-1
45,a,C5-80-normal,A1-100-normal,0.78503414,0.39070796526,0.497695508197898,-0.871001055573291,0.175593207916385,-5.17400382509501,-1
46,a,CXD_0204_FDSW210423206-1r,A1-100-normal,0.36579409,0.31652427358,0.865307237686645,0.920326296494545,0.802929706049889,-0.572934480488881,-0.408
47,a,CXD_0209_FDSW210423211-1r,A1-100-normal,0.40876672,0.3679016444,0.900028369237104,1.08951815750394,0.841841653474955,-0.507327622412869,-0.332
