name1,name2,D.ij.bray,G.ij.bray,Ds.ij.bray,Gs.ij.bray,C.ij.bray,E.ij.bray,ST.ij.bray,MST.ij.bray,SES.bray,RC.bray
25,B5-100-normal,A1-100-normal,0.1897799,0.61599999281,0.1897799,0.61599999281,0.8102201,0.38400000719,0.473945298555294,0.146015085089517,-5.51670059259764,-1
26,B5-20-normal,A1-100-normal,0.5244817,0.63121777915,0.5244817,0.63121777915,0.4755183,0.36878222085,0.775537389097328,0.644397514903756,-2.48960122619596,-0.992
27,B5-40-normal,A1-100-normal,0.54739431,0.6640175409,0.54739431,0.6640175409,0.45260569,0.3359824591,0.742329286889876,0.611951948195704,-2.5048030948815,-0.994
28,B5-60-normal,A1-100-normal,0.34833569,0.58665573305,0.34833569,0.58665573305,0.65166431,0.41334426695,0.634290171499495,0.376619356297442,-3.29890646398181,-1
29,B5-80-normal,A1-100-normal,0.52089484,0.63645871595,0.52089484,0.63645871595,0.47910516,0.36354128405,0.758792253562871,0.621015879911246,-2.38691098304962,-0.996
30,C1_FDSW202534412-1r,A1-100-normal,0.65161923,0.58955038655,0.65161923,0.58955038655,0.34838077,0.41044961345,0.904746759161788,0.767929515056505,0.852038762219191,0.6
31,C1-100-normal,A1-100-normal,0.3716115,0.6262990635,0.3716115,0.6262990635,0.6283885,0.3737009365,0.594697287585626,0.352860740124076,-3.32695376357909,-1
32,C1-20-normal,A1-100-normal,0.5116916,0.64137864126,0.5116916,0.64137864126,0.4883084,0.35862135874,0.73441570683609,0.585916530300783,-2.42234403541977,-0.988
33,C1-40-normal,A1-100-normal,0.59103991,0.6795703125,0.59103991,0.6795703125,0.40896009,0.3204296875,0.783523124469187,0.68145036422436,-2.0851581455057,-0.988
34,C1-60-normal,A1-100-normal,0.37788624,0.63095705213,0.37788624,0.63095705213,0.62211376,0.36904294787,0.59320814230182,0.355278055257608,-3.69001454808179,-1
35,C1-80-normal,A1-100-normal,0.35137991,0.59975155938,0.35137991,0.59975155938,0.64862009,0.40024844062,0.617076847897203,0.361530376846959,-3.77744209981489,-1
36,C3-100-normal,A1-100-normal,0.27660663,0.60409835677,0.27660663,0.60409835677,0.72339337,0.39590164323,0.547284036111639,0.250592293763307,-4.33374640206226,-1
37,C3-20-normal,A1-100-normal,0.40398367,0.58404839197,0.40398367,0.58404839197,0.59601633,0.41595160803,0.6978862609855,0.482724816696322,-2.57483683884578,-0.994
38,C3-40-normal,A1-100-normal,0.46960916,0.6294659654,0.46960916,0.6294659654,0.53039084,0.3705340346,0.698605644471537,0.521190386620921,-2.8093990496226,-1
39,C3-60-normal,A1-100-normal,0.48797751,0.64431839704,0.48797751,0.64431839704,0.51202249,0.35568160296,0.694660117292895,0.526104044041211,-2.94452173250126,-0.998
40,C3-80-normal,A1-100-normal,0.46579553,0.62984694076,0.46579553,0.62984694076,0.53420447,0.37015305924,0.692905207700714,0.512429492903892,-3.08464264329094,-1
41,C5-100-normal,A1-100-normal,0.21557991,0.57455384653,0.21557991,0.57455384653,0.78442009,0.42544615347,0.542370292262657,0.203504231150513,-5.0101042764736,-1
42,C5-20-normal,A1-100-normal,0.38927555,0.60050876696,0.38927555,0.60050876696,0.61072445,0.39949123304,0.654126804715285,0.424033062771666,-2.9661802364139,-0.998
43,C5-40-normal,A1-100-normal,0.41565179,0.60714772823,0.41565179,0.60714772823,0.58434821,0.39285227177,0.672291392438765,0.46024897677441,-3.18460649574592,-1
44,C5-60-normal,A1-100-normal,0.45510673,0.60350000137,0.45510673,0.60350000137,0.54489327,0.39649999863,0.727665435526484,0.548741402062483,-2.74900051571474,-1
45,C5-80-normal,A1-100-normal,0.21496586,0.60929203474,0.21496586,0.60929203474,0.78503414,0.39070796526,0.497695508197898,0.175593207916385,-5.17400382509501,-1
46,CXD_0204_FDSW210423206-1r,A1-100-normal,0.63420591,0.68347572642,0.63420591,0.68347572642,0.36579409,0.31652427358,0.865307237686645,0.802929706049889,-0.572934480488881,-0.408
47,CXD_0209_FDSW210423211-1r,A1-100-normal,0.59123328,0.6320983556,0.59123328,0.6320983556,0.40876672,0.3679016444,0.900028369237104,0.841841653474955,-0.507327622412869,-0.332
