,Hes,Hos,DL,HD,DR,
SD.QD.2023.07.100.ultra.bin.9,4.862277461,0.050386295,0.117568021,13.03325495,81.93651327,SD.QD.2023.07.100.ultra.bin.9 81.936513268391 13.0332549546523 0.117568021498153 0.0503862949277796 4.86227746053074
SD.QD.2023.07.40.normal.bin.17,11.01389139,0.027061158,0,5.71892477,83.24012268,SD.QD.2023.07.40.normal.bin.17 83.2401226772506 5.71892476998015 0 0.0270611582175717 11.0138913945517
SD.QD.2023.07.40.ultra.bin.12,15.4724627,14.62516117,4.448333026,9.21E-03,65.4448333,SD.QD.2023.07.40.ultra.bin.12 65.444833302634 0.00920979922637687 4.44833302634003 14.6251611714865 15.4724627003131
SD.QD.2023.07.40.ultra.bin.3,1.030146947,0,25.79912135,10.51355855,62.65717316,SD.QD.2023.07.40.ultra.bin.3 62.6571731555825 10.5135585517346 25.7991213452507 0 1.03014694743221
SD.QD.2023.07.40.ultra.bin.9,0.322580645,0,13.65275142,5.237191651,80.78747628,SD.QD.2023.07.40.ultra.bin.9 80.7874762808349 5.23719165085389 13.6527514231499 0 0.32258064516129
SD.QD.2023.07.60.normal.bin.5,11.02291178,0,0,5.556557821,83.4205304,SD.QD.2023.07.60.normal.bin.5 83.4205303987011 5.55655782067472 0 0 11.0229117806242
SD.QD.2023.07.60.ultra.bin.7,8.51134569,8.31E-03,0.099742332,8.444850802,82.93574931,SD.QD.2023.07.60.ultra.bin.7 82.9357493142715 8.44485080209459 0.0997423323082038 0.00831186102568365 8.51134569030006
SD.QD.2023.07.80.normal.bin.13,9.791547141,0,0.114744693,8.883151654,81.21055651,SD.QD.2023.07.80.normal.bin.13 81.2105565117613 8.88315165423599 0.114744693057946 0 9.79154714094473
SD.QD.2023.07.80.normal.bin.14,8.599261001,0,0.10077259,8.532079274,82.76788713,SD.QD.2023.07.80.normal.bin.14 82.7678871346994 8.53207927443735 0.100772589855559 0 8.59926100100773
SD.QD.2023.07.80.normal.bin.18,6.194590955,0,0.88654472,2.749410841,90.16945348,SD.QD.2023.07.80.normal.bin.18 90.1694534844574 2.74941084053417 0.886544720008978 0 6.19459095499944
SD.QD.2023.07.80.ultra.bin.14,0.290427509,0.069702602,13.44098513,5.913104089,80.28578067,SD.QD.2023.07.80.ultra.bin.14 80.285780669145 5.91310408921933 13.4409851301115 0.0697026022304833 0.29042750929368
