distv_num,dist_loca_num
-1.214431078,5.859217738
-1.201008169,5.859217738
-1.194614762,5.859217738
-1.191079815,5.859217738
-1.189291599,5.859217738
-1.180904902,5.859217738
-1.175174294,5.859217738
-1.160506863,5.859217738
-1.151109316,5.859217738
-1.150321063,5.859217738
-1.142386277,5.859217738
-1.13158631,5.859217738
-1.128640383,5.859217738
-1.124289625,5.859217738
-1.11988404,5.859217738
-1.086028379,5.859217738
-1.063506193,5.859217738
-1.059950884,5.859217738
-1.047794475,5.859217738
-1.042775308,5.859217738
-1.037039765,5.859217738
-1.035379723,5.859217738
-1.034598882,5.859217738
-1.029987611,5.859217738
-1.027897041,5.859217738
-1.025525994,5.859217738
-1.022354573,5.859217738
-1.020548359,5.859217738
-1.010602449,5.859217738
-1.004428703,5.859217738
-1.003305426,5.859217738
-0.997523959,5.859217738
-0.989602466,5.859217738
-0.988703797,5.859217738
-0.944520481,5.859217738
-0.931224348,5.859217738
-0.88484624,5.859217738
-0.882340979,5.859217738
-0.879599518,5.859217738
-0.852733646,5.859217738
-0.829304847,5.859217738
-0.821460679,5.859217738
-0.798855232,5.859217738
-0.796952471,5.859217738
-0.793001157,5.859217738
-0.783385673,5.859217738
-0.775877366,5.859217738
-0.763027184,5.859217738
-1.981710096,5.874136759
-1.877902869,5.874136759
-1.877843701,5.874136759
-1.87190726,5.874136759
-1.84374779,5.874136759
-1.838013381,5.874136759
-1.800485597,5.874136759
-1.798988123,5.874136759
-1.798933125,5.874136759
-1.793417676,5.874136759
-1.770685648,5.874136759
-1.767329528,5.874136759
-1.743000744,5.874136759
-1.72147523,5.874136759
-1.72142999,5.874136759
-1.716898295,5.874136759
-1.700256038,5.874136759
-1.695604408,5.874136759
-1.675092077,5.874136759
-1.641978385,5.874136759
-1.622299275,5.874136759
-1.610183442,5.874136759
-1.610131738,5.874136759
-1.606103834,5.874136759
-1.604948578,5.874136759
-1.580486961,5.874136759
-1.53053839,5.874136759
-1.518039296,5.874136759
-1.512458466,5.874136759
-1.502704574,5.874136759
-1.502649182,5.874136759
-1.494789137,5.874136759
-1.470810896,5.874136759
-1.469651658,5.874136759
-1.411745613,5.874136759
-1.390516912,5.874136759
-1.386034638,5.874136759
-1.36697679,5.874136759
-1.300085369,5.874136759
-1.285793909,5.874136759
-1.266427615,5.874136759
-1.266065493,5.874136759
-1.264719162,5.874136759
-1.928252786,5.905093056
-1.636013944,5.905093056
-2.007229214,5.979741625
-1.934801306,5.979741625
-1.922935937,5.979741625
-1.849958137,5.979741625
-1.8475985,5.979741625
-1.846108982,5.979741625
-1.833327818,5.979741625
-1.815861085,5.979741625
-1.81177412,5.979741625
-1.7916165,5.979741625
-1.783607414,5.979741625
-1.767547322,5.979741625
-1.762648887,5.979741625
