	CXD_0801_FDSW210423161-1r	CXD_0802_FDSW210423162-1r	CXD_0803_FDSW210423163-1r	CXD_0804_FDSW210423164-1r	CXD_0805_FDSW210423165-1r	CXD_0807_FDSW210423167-1r	CXD_1001_FDSW210423173-1r	CXD_1003_FDSW210423175-1r	CXD_1004_FDSW210423176-1r	CXD_1007_FDSW210423179-1r	CXD_1009_FDSW210423181-1r	CXD_1015_FDSW210423187-1r	CXD_1201_FDSW210423188-1r	CXD_1202_FDSW210423189-1r	CXD_1203_FDSW210423190-1r	CXD_1213_FDSW210423200-1r	CXD_1214_FDSW210423201-1r	CXD_1215_FDSW210423202-1r	CXD_0204_FDSW210423206-1r	CXD_0209_FDSW210423211-1r	CXD_0210_FDSW210423212-1r	CXD_0213_FDSW210423215-1r	CXD_0214_FDSW210423216-1r	CXD_0215_FDSW210423217-1r	CXD_1401_FDSW210423218-1r	CXD_1402_FDSW210423219-1r	CXD_1408_FDSW210423225-1r	CXD_1412_FDSW210423229-1r	CXD_1414_FDSW210423231-1r	CXD_1415_FDSW210423232-1r	CXD_1604_FDSW210423236-1r	CXD_1609_FDSW210423241-1r	CXD_1610_FDSW210423242-1r	CXD_1611_FDSW210423243-1r	CXD_1612_FDSW210423244-1r	CXD_1613_FDSW210423245-1r
SD_QD_2023_07_40_ultra_bin_12	2.827425843	13.274614	2.604274033	9.538651912	2.000068019	6.580484036	2.66933591	1.186709641	2.599346219	3.213789062	4.00632517	2.568087667	3.653566967	4.608348812	2.106478104	2.675136825	3.029803614	3.918388308	3.71709584	10.52227026	3.631123722	2.465673835	2.289386205	2.783175829	0	1.347279587	16.61376557	2.795903719	2.92918148	2.593479856	1.634942607	11.60947269	0.992911596	1.361920729	0	1.074164771
SD_QD_2023_07_40_ultra_bin_16	0	0	0	0	0	0	0	0	0	0	0	1.097405478	0	0	0	1.63819575	1.34122625	1.065884455	0	0	0	0	0	0	0	0	0	1.217504615	2.706095011	2.769730367	1.150773937	1.116766724	1.167970933	1.240873558	0.921071786	1.554884476
SD_QD_2023_07_40_ultra_bin_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2023_07_60_normal_bin_5	0	2.166383088	1.851540475	1.818784938	1.48080886	1.438614155	0	1.019001444	1.305748976	1.434434709	1.642389973	3.732467148	0	1.305429474	2.125013202	3.849045563	3.267537389	2.047883645	0	1.26572405	1.317110621	0	0	0	1.26471907	0	2.195360915	1.497047391	4.891313772	3.907460868	0.960852747	1.498731001	0	0	0	0
SD_QD_2023_07_60_ultra_bin_7	1.236345604	5.3860931	1.273586406	2.088160121	2.048219622	2.515915684	2.393286829	2.341495393	1.505145722	2.051967274	2.970138736	4.547987984	2.877306736	2.830376568	2.098339275	5.012499924	4.165531265	2.97413372	1.912358764	1.97364466	1.920041516	1.73247396	1.27652478	2.194631172	1.046941834	1.337033406	0	2.553983408	3.934783634	5.257443808	2.426288978	1.477847789	1.820589258	1.867104451	1.53609908	1.310238857
SD_QD_2023_07_80_normal_bin_13	0	2.488217421	0	0.796667296	0.908168994	0.969351823	0	0	0	0	0	1.905138953	1.151952164	1.095461176	1.095120829	2.371524878	1.974952618	1.109988362	0.900902439	0	0.947317926	0	0	0	0	0	0	1.227894723	1.560301783	2.073588181	1.220182429	0	1.01339924	1.093103023	1.005626211	0
SD_QD_2023_07_80_normal_bin_14	1.28739677	5.065146771	1.40149087	1.756213991	2.250234505	2.584129966	2.529280358	2.68224202	1.585425648	2.127536958	2.529226888	4.281600374	2.949793737	2.664097994	1.57504513	5.256533422	4.536582604	2.948933474	1.966971997	2.182505846	1.802911374	1.690953861	1.058955466	2.333752282	0	1.382634719	0	2.944994263	3.750994073	4.314329106	2.090730779	1.500435673	1.601450729	1.858507951	1.399519627	1.328683403
SD_QD_2023_07_80_normal_bin_18	0	1.340341939	0	1.073760533	0	0	0	0.744295218	0	0	0	1.78144457	0.950567186	0.908437698	1.061151679	1.895046111	1.676743014	1.045972384	0	0.990585181	0.992526596	0	0	1.113491475	0	0	0	1.386759508	1.86977145	2.222043399	0.878399173	0	0	0	0	0
SD_QD_2023_07_80_ultra_bin_14	0	1.206860376	1.105199343	1.423471075	0.987522021	0	1.1504092	0	0	0.974531927	1.096870494	0.898675081	1.568854427	0	0	0	1.348017525	1.26855308	0	0	0	0	0	0.948960729	0	0	0	0	0.828204773	0.822940775	0	0	0	0	0	0
SD_QD_2023_07_80_ultra_bin_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.901160491	0	0	0	0	0	0
