name1,name2,D.ij.bray,G.ij.bray,Ds.ij.bray,Gs.ij.bray,C.ij.bray,E.ij.bray,ST.ij.bray,MST.ij.bray,SES.bray,RC.bray
34,NB12_FDME210455363-1r,BH2_FDSW220017122-1r,1,0.88476635361,1,0.88476635361,0,0.11523364639,0.88476635361,0,0.959504819094733,0.735
35,NB15_FDME210455366-1r,BH2_FDSW220017122-1r,1,0.88442990521,1,0.88442990521,0,0.11557009479,0.88442990521,0,0.945499366603939,0.728
36,SY3_FDME210455399-2a,BH2_FDSW220017122-1r,1,0.96924137885,1,0.96924137885,0,0.0307586211500001,0.96924137885,0,0.408521381209525,0.172
37,SY7_FDME210455403-2a,BH2_FDSW220017122-1r,1,0.9919019626,1,0.9919019626,0,0.00809803740000004,0.9919019626,0,0.442960610516258,0.186
38,SY9_FDME210455405-2a,BH2_FDSW220017122-1r,1,0.9440000003,1,0.9440000003,0,0.0559999997,0.9440000003,0,0.576679344713671,0.362
39,SY11_FDME210455407-1r,BH2_FDSW220017122-1r,1,0.96864912222,1,0.96864912222,0,0.03135087778,0.96864912222,0,0.539079699155691,0.289
40,SY12_FDME210455408-1r,BH2_FDSW220017122-1r,1,0.91931707315,1,0.91931707315,0,0.08068292685,0.91931707315,0,0.574815544377011,0.347
41,SY13_FDME210455409-2a,BH2_FDSW220017122-1r,1,0.97838937952,1,0.97838937952,0,0.02161062048,0.97838937952,0,0.396486194296705,0.166
42,SY15_FDME210455411-2a,BH2_FDSW220017122-1r,1,0.94892537308,1,0.94892537308,0,0.05107462692,0.94892537308,0,0.423239790098366,0.182
43,ST1_FDME220007465-1r,BH2_FDSW220017122-1r,1,0.89508,1,0.89508,0,0.10492,0.89508,0,0.63908701809784,0.419
44,ST3_L1,BH2_FDSW220017122-1r,1,0.98226167979,1,0.98226167979,0,0.01773832021,0.98226167979,0,0.520383036145569,0.274
45,ST7_FDME220007471-1r,BH2_FDSW220017122-1r,1,0.96086666663,1,0.96086666663,0,0.03913333337,0.96086666663,0,0.505601824112824,0.259
46,ST9_L1,BH2_FDSW220017122-1r,1,0.99360395576,1,0.99360395576,0,0.00639604423999995,0.99360395576,0,0.471575525557302,0.205
47,ST10_L1,BH2_FDSW220017122-1r,1,0.9653675201,1,0.9653675201,0,0.0346324799,0.9653675201,0,0.515557244551285,0.27
