group,name1,name2,C.ij.bray,E.ij.bray,ST.ij.bray,NST.ij.bray,MST.ij.bray,SES.ij.bray,RC.ij.bray
59,a,XM2_FDME220007436-1r,BH2_FDSW220017122-1r,0,0.05837333291,0.94162666709,1.34527637287049,0,0.403993251926632,0.178
60,a,XM4_FDME220007438-1r,BH2_FDSW220017122-1r,0,0.04312396745,0.95687603255,1.41834516846743,0,0.459773559610839,0.207
61,a,XM6_FDME220007440-1r,BH2_FDSW220017122-1r,0,0.03165517278,0.96834482722,1.4732989969191,0,0.427537311620771,0.185
62,a,XM8_FDME220007442-1r,BH2_FDSW220017122-1r,0,0.02881739031,0.97118260969,1.48689650350341,0,0.417457069447879,0.177
63,a,XM10_FDME220007444-1r,BH2_FDSW220017122-1r,0,0.043424,0.956576,1.4169075337589,0,0.428744622292444,0.186
64,a,XM12_FDME220007446-1r,BH2_FDSW220017122-1r,0,0.0923597883,0.9076402117,1.18242701573032,0,0.577569648454504,0.344
65,a,XM14_FDME220007448-1r,BH2_FDSW220017122-1r,0,0.039776,0.960224,1.43438727526269,0,0.408139730271733,0.17
66,a,XM15_FDME220007449-1r,BH2_FDSW220017122-1r,0,0.06422516638,0.93577483362,1.31723675215261,0,0.414958952591705,0.183
67,a,YC1_FDME220007405-1r,BH2_FDSW220017122-1r,0,0.03358620817,0.96641379183,1.46404625584128,0,0.594687165396827,0.345
68,a,YC3_FDME220007407-1r,BH2_FDSW220017122-1r,0,0.03222414058,0.96777585942,1.47057273319432,0,0.657027036895975,0.412
69,a,YC5_FDME220007409-1r,BH2_FDSW220017122-1r,0,0.02807142835,0.97192857165,1.4904708517031,0,0.545744072846664,0.291
70,a,YC7_FDME220007411-1a,BH2_FDSW220017122-1r,0,0.0297543874,0.9702456126,1.48240679217584,0,0.644698999429744,0.425
71,a,YC9_FDME220007413-1r,BH2_FDSW220017122-1r,0,0.0283063064,0.9716936936,1.48934541102358,0,0.543494047251428,0.287
72,a,YC11_FDME220007415-1r,BH2_FDSW220017122-1r,0,0.040611572,0.959388428,1.43038355197108,0,0.58285754764089,0.345
73,a,YC13_FDME220007417-1r,BH2_FDSW220017122-1r,0,0.0356752149,0.9643247851,1.4540365799531,0,0.599535727677425,0.367
74,a,YC15_FDME220007419-1r,BH2_FDSW220017122-1r,0,0.02794736884,0.97205263116,1.49106529473103,0,0.585410370848521,0.339
75,a,ZH1_FDSW220008784-1r,BH2_FDSW220017122-1r,0,0.00596078598000005,0.99403921402,1.59641611297239,0,0.286651061691441,0.076
76,a,ZH3_FDSW220008786-1r,BH2_FDSW220017122-1r,0,0.01794495671,0.98205504329,1.53899281075263,0,0.313609104329063,0.09
77,a,ZH5_FDSW220008788-1r,BH2_FDSW220017122-1r,0,0.00974757457999997,0.99025242542,1.57827135259479,0,0.334648354036574,0.101
78,a,ZH7_FDSW220008790-1r,BH2_FDSW220017122-1r,0,0.0147735852999999,0.9852264147,1.5541887407031,0,0.329423386866166,0.098
79,a,ZH9_FDSW220008792-2r,BH2_FDSW220017122-1r,0,0.0228468441,0.9771531559,1.51550494768851,0,0.32992489343141,0.099
80,a,ZH11_FDSW220008794-2r,BH2_FDSW220017122-1r,0,0.0140000003,0.9859999997,1.55789544734543,0,0.319934156779575,0.093
81,a,ZH13_FDSW220008796-2r,BH2_FDSW220017122-1r,0,0.0146981136,0.9853018864,1.55455037058436,0,0.328724911644595,0.098
82,a,ZH15_FDSW220008798-2r,BH2_FDSW220017122-1r,0,0.0161481494,0.9838518506,1.54760238512514,0,0.309939154161027,0.088
83,a,C1_FDSW202534412-1r,BH2_FDSW220017122-1r,0,0.11338028302,0.88661971698,1.08170530136974,0,1.54320692725966,0.972
84,a,E5_FDSW202534388-1r,BH2_FDSW220017122-1r,0,0.12052766117,0.87947233883,1.04745795419544,0,1.590081318686,0.988
